doi,orcid_search,orcid_index,work_index,title,work_type,publication_year,source_display_name,work_id,work_display_name,authorships,abstract,publication_date,fwci,cited_by_count,counts_by_year,cited_by_api_url,ids,is_oa,is_oa_anywhere,oa_status,oa_url,any_repository_has_fulltext,source_id,issn_l,host_organization,host_organization_name,landing_page_url,pdf_url,license,version,referenced_works,referenced_works_count,related_works,concepts,topics,keywords,is_paratext,is_retracted,language,grants,apc,first_page,last_page,volume,issue
https://doi.org/10.1007/s00454-025-00735-4,0000-0002-2189-4942,7,1,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,article,2025,Discrete & Computational Geometry,https://openalex.org/W4409729811,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,,NA,2025-04-23,0,0,,https://api.openalex.org/works?filter=cites:W4409729811,,FALSE,FALSE,closed,NA,FALSE,https://openalex.org/S103671469,0179-5376,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s00454-025-00735-4,NA,NA,NA,,16,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.48550/arxiv.2403.11523,0000-0002-2189-4942,7,2,Crushing Surfaces of Positive Genus,preprint,2024,arXiv (Cornell University),https://openalex.org/W4392974081,Crushing Surfaces of Positive Genus,,"The operation of crushing a normal surface has proven to be a powerful tool in computational $3$-manifold topology, with applications both to triangulation complexity and to algorithms. The main difficulty with crushing is that it can drastically change the topology of a triangulation, so applications to date have been limited to relatively simple surfaces: $2$-spheres, discs, annuli, and closed boundary-parallel surfaces. We give the first detailed analysis of the topological effects of crushing closed essential surfaces of positive genus. To showcase the utility of this new analysis, we use it to prove some results about how triangulation complexity interacts with JSJ decompositions and satellite knots; although similar applications can also be obtained using techniques of Matveev, our approach has the advantage that it avoids the machinery of almost simple spines and handle decompositions.",2024-03-18,NA,0,,https://api.openalex.org/works?filter=cites:W4392974081,,TRUE,TRUE,green,http://arxiv.org/pdf/2403.11523,TRUE,https://openalex.org/S4306400194,NA,https://openalex.org/I205783295,Cornell University,http://arxiv.org/abs/2403.11523,http://arxiv.org/pdf/2403.11523,NA,submittedVersion,,0,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.14264/3df9845,0000-0002-2189-4942,7,3,Combinatorial transformations in 3-manifold topology,dissertation,2024,NA,https://openalex.org/W4402499940,Combinatorial transformations in 3-manifold topology,,NA,2024-09-06,NA,0,,https://api.openalex.org/works?filter=cites:W4402499940,,FALSE,FALSE,closed,NA,FALSE,NA,NA,NA,NA,https://doi.org/10.14264/3df9845,NA,NA,NA,,0,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.48550/arxiv.2303.06321,0000-0002-2189-4942,7,4,Finding large counterexamples by selectively exploring the Pachner graph,preprint,2023,arXiv (Cornell University),https://openalex.org/W4324311891,Finding large counterexamples by selectively exploring the Pachner graph,,"We often rely on censuses of triangulations to guide our intuition in $3$-manifold topology. However, this can lead to misplaced faith in conjectures if the smallest counterexamples are too large to appear in our census. Since the number of triangulations increases super-exponentially with size, there is no way to expand a census beyond relatively small triangulations; the current census only goes up to $10$ tetrahedra. Here, we show that it is feasible to search for large and hard-to-find counterexamples by using heuristics to selectively (rather than exhaustively) enumerate triangulations. We use this idea to find counterexamples to three conjectures which ask, for certain $3$-manifolds, whether one-vertex triangulations always have a ""distinctive"" edge that would allow us to recognise the $3$-manifold.",2023-01-01,NA,0,,https://api.openalex.org/works?filter=cites:W4324311891,,TRUE,TRUE,green,https://arxiv.org/abs/2303.06321,TRUE,https://openalex.org/S4306400194,NA,https://openalex.org/I205783295,Cornell University,https://arxiv.org/abs/2303.06321,NA,cc-by,submittedVersion,,0,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.1007/s00454-023-00539-4,0000-0002-2189-4942,7,5,Arc Diagrams on 3-Manifold Spines,article,2023,Discrete & Computational Geometry,https://openalex.org/W4386317985,Arc Diagrams on 3-Manifold Spines,,"Abstract We develop a theory of link projections to trivalent spines of 3-manifolds. We prove a Reidemeister Theorem providing a set of combinatorial moves sufficient to relate the projections of isotopic links. We also show that any link admits a crossingless projection to any special spine and we refine our theorem to provide a set of combinatorial moves sufficient to relate crossingless diagrams. Finally, we discuss the connection to Turaev’s shadow world, interpreting our result as a statement about shadow equivalence of a class of 4-manifolds.",2023-08-31,0,0,,https://api.openalex.org/works?filter=cites:W4386317985,,TRUE,TRUE,hybrid,https://link.springer.com/content/pdf/10.1007/s00454-023-00539-4.pdf,FALSE,https://openalex.org/S103671469,0179-5376,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s00454-023-00539-4,https://link.springer.com/content/pdf/10.1007/s00454-023-00539-4.pdf,cc-by,publishedVersion,,17,,,,,FALSE,FALSE,en,,,1190,1209,71,4
https://doi.org/10.48550/arxiv.2312.17556,0000-0002-2189-4942,7,6,An algorithm to construct one-vertex triangulations of Heegaard splittings,preprint,2023,arXiv (Cornell University),https://openalex.org/W4390528014,An algorithm to construct one-vertex triangulations of Heegaard splittings,,"Following work of Jaco and Rubinstein (2006), which (non-constructively) proved that any 3-manifold admits a one-vertex layered triangulation, we present an algorithm, with implementation using Regina, that constructs a generalised notion of layered triangulation from a Heegaard diagram. We show that work of Huszár and Spreer (2019) extends to our construction: given a genus-$g$ Heegaard splitting, our algorithm generates a triangulation with cutwidth bounded above by $4g-2$. We also present findings from preliminary computer searches using our algorithm, demonstrating its usefulness.",2023-01-01,NA,0,,https://api.openalex.org/works?filter=cites:W4390528014,,TRUE,TRUE,green,https://arxiv.org/abs/2312.17556,TRUE,https://openalex.org/S4306400194,NA,https://openalex.org/I205783295,Cornell University,https://arxiv.org/abs/2312.17556,NA,other-oa,submittedVersion,,0,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.48550/arxiv.1912.09051,0000-0002-2189-4942,7,7,On the hardness of finding normal surfaces,preprint,2019,arXiv (Cornell University),https://openalex.org/W2996610703,On the hardness of finding normal surfaces,,"For many fundamental problems in computational topology, such as unknot recognition and $3$-sphere recognition, the existence of a polynomial-time solution remains unknown. A major algorithmic tool behind some of the best known algorithms for these problems is normal surface theory. However, we currently have a poor understanding of the computational complexity of problems in normal surface theory: many such problems are still not known to have polynomial-time algorithms, yet proofs of $\mathrm{NP}$-hardness also remain scarce. We give three results that provide some insight on this front. A number of modern normal surface theoretic algorithms depend critically on the operation of finding a non-trivial normal sphere or disc in a $3$-dimensional triangulation. We formulate an abstract problem that captures the algebraic and combinatorial aspects of this operation, and show that this abstract problem is $\mathrm{NP}$-complete. Assuming $\mathrm{P}\neq\mathrm{NP}$, this result suggests that any polynomial-time procedure for finding a non-trivial normal sphere or disc will need to exploit some geometric or topological intuition. Another key operation, which applies to a much wider range of topological problems, involves finding a vertex normal surface of a certain type. We study two closely-related problems that can be solved using this operation. For one of these problems, we give a simple alternative solution that runs in polynomial time; for the other, we prove $\mathrm{NP}$-completeness.",2019-01-01,NA,0,,https://api.openalex.org/works?filter=cites:W2996610703,,TRUE,TRUE,green,https://arxiv.org/abs/1912.09051,TRUE,https://openalex.org/S4306400194,NA,https://openalex.org/I205783295,Cornell University,https://arxiv.org/abs/1912.09051,NA,other-oa,submittedVersion,,21,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.48550/arxiv.2012.02398,0000-0002-2189-4942,7,8,Connecting 3-manifold triangulations with monotonic sequences of bistellar flips,preprint,2020,arXiv (Cornell University),https://openalex.org/W3112965411,Connecting 3-manifold triangulations with monotonic sequences of bistellar flips,,"A key result in computational 3-manifold topology is that any two triangulations of the same 3-manifold are connected by a finite sequence of bistellar flips, also known as Pachner moves. One limitation of this result is that little is known about the structure of this sequences; knowing more about the structure could help both proofs and algorithms. Motivated by this, we show that there must be a sequence that satisfies a rigid property that we call ""semi-monotonicity"". We also study this result empirically: we implement an algorithm to find such semi-monotonic sequences, and compare their characteristics to less structured sequences, in order to better understand the practical and theoretical utility of this result.",2020-01-01,NA,0,,https://api.openalex.org/works?filter=cites:W3112965411,,TRUE,TRUE,green,https://arxiv.org/abs/2012.02398,TRUE,https://openalex.org/S4306400194,NA,https://openalex.org/I205783295,Cornell University,https://arxiv.org/abs/2012.02398,NA,other-oa,submittedVersion,,14,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.48550/arxiv.2202.02007,0000-0002-2189-4942,7,9,Arc diagrams on 3-manifold spines,preprint,2022,arXiv (Cornell University),https://openalex.org/W4226088795,Arc diagrams on 3-manifold spines,,"We develop a theory of link projections to trivalent spines of 3-manifolds. We prove a Reidemeister Theorem providing a set of combinatorial moves sufficient to relate the projections of isotopic links. We also show that any link admits a crossingless projection to any special spine and we refine our theorem to provide a set of combinatorial moves sufficient to relate crossingless diagrams. Finally, we discuss the connection to Turaev's shadow world, interpreting our result as a statement about shadow equivalence of a class of 4-manifolds.",2022-01-01,NA,0,,https://api.openalex.org/works?filter=cites:W4226088795,,TRUE,TRUE,hybrid,https://arxiv.org/abs/2202.02007,TRUE,https://openalex.org/S4306400194,NA,https://openalex.org/I205783295,Cornell University,https://arxiv.org/abs/2202.02007,NA,other-oa,submittedVersion,,12,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://doi.org/10.1007/s41468-021-00076-0,0000-0002-2189-4942,7,10,On the hardness of finding normal surfaces,article,2021,Journal of Applied and Computational Topology,https://openalex.org/W3198811666,On the hardness of finding normal surfaces,,NA,2021-09-06,0,0,,https://api.openalex.org/works?filter=cites:W3198811666,,FALSE,TRUE,green,https://arxiv.org/pdf/1912.09051,TRUE,https://openalex.org/S4210173698,2367-1734,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s41468-021-00076-0,NA,NA,NA,,17,,,,,FALSE,FALSE,en,,,583,619,5,4
